Country,Year,Area,Location,Activity,Sex,Age,Injury,Fatal_Y_N,Species,Month
SOUTH AFRICA,2018,KwaZulu-Natal,Durban,Scuba Diving,M,38, The shark & man simply collided; neither were injured,N,Blacktip shark,2
AUSTRALIA,2018,New South Wales,"Little Congwong Beach, La Perouse ",Swimming,F,55,Laceratons to right leg & foot,N,"Juvenile white shark,  2.7 to 3.2 m",2
AUSTRALIA,2018,New South Wales,"Surf Beach, Kiama",Walking,M,35,Puncture wounds to leff foot & lower leg,N,"Bull shark, 2 m",2
ECUADOR,2018,Galapagos Islands,Santa Fe Island,Snorkeling,M,45,Injuries to right foot,N,Galapagos shark?,2
AUSTRALIA,2018,Western Australia,Cone Bay,other,M,18,Injuries to right leg,N,Bull shark,1
NEW CALEDONIA,2018,other,Nouville,Spearfishing,M,40s,Injuries to abdomen and arm,N,"Bull shark, 3 m ",1
AUSTRALIA,2018,Queensland,Lizard Island,Diving,M,0,Severe laceration to left forearm,N,Grey reef shark. 2 m,1
AUSTRALIA,2018,New South Wales,Martin Islet,Free diving,M,28,"No injury, shark took his swimfin",N,"White shark, 3.5 m",1
BRAZIL,2018,Fernando de Noronha,Conceicao Beach,Surfing,M,20,Minor injury to left forearm,N,small shark,1
AUSTRALIA,2018,Western Australia,"South Point, Gracetown",Surfing,M,0,Foot bitten,N,Wobbegong shark?,1
USA,2017,Hawaii,"Hultin's Beach, Oahu",Surfing,F,54,Severe lacerations to left thigh & knee,N,Tiger shark,12
USA,2017,California,"Drakes Estero, Point Reyes, Marin County",Surfing,F,35,Foot bitten,N,other,12
BAHAMAS,2017,other,other,Snorkeling,F,25,Minor injury to arm,N,Nurse shark. 5',12
COSTA RICA,2017,Cocos Island,Manuelita,Scuba Diving,M,26,Serious injury to leg,N,"Tiger shark, female",11
COSTA RICA,2017,Cocos Island,Manuelita,Scuba diving,F,49,FATAL,Y,"Tiger shark, female",11
USA,2017,California,"Stillwater Cove, Monterey County",Spearfishing,M,25,Right leg bitten,N,"White shark, 4.6 m",11
USA,2017,Florida,"Floridana Beach, Brevard County",Surfing,F,14,Heel bitten,N,other,11
other,2017,other,other,Surfing,M,24,Puncture wounds to feet,N,other,11
AUSTRALIA,2017,New South Wales,Avoca Beach,Surfing,M,25,Puncture wounds to left shoulder,N,2 m shark,11
CUBA,2017,Holquin Province,Guardalavaca Beach,Night bathing,M,22,FATAL,Y,Tiger shark,11
AUSTRALIA,2017,Queensland,Magnetic Island,Snorkeling,M,7,Calf injured,N,Cookiecutter shark,10
AUSTRALIA,2017,New South Wales,Birubi Point,Surfing,M,31,Minor injury to foot,N,"Wobbegong shark, 1 m",10
USA,2017,Hawaii,"White Plains Beach, Oahu",Stand-Up Paddleboarding,M,0,No injury but shark bit SUP,N,other,10
MAURITIUS,2017,Pamplemousses ,Le Goulet,Swimming,M,0,Minor injury to foot,N,other,10
USA,2017,Florida,"Juno Beach, Palm Beach County",Surfing ,M,17,Lacerations to left foot,N,other,10
USA,2017,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Swimming,F,60,Severe lacerations to left hand & wrist,N,other,10
AUSTRALIA,2017,South Australia,Normanville,Kayaking / Fishing,F,15,Minor injuries,N,"White shark, 4.5 m",10
NEW ZEALAND,2017,North Island,"Off Tapuna Beach, Auckand",Kayaking,M,0,"No injury, shark shook kayak x3 ",N,2 m shark,10
USA,2017,Florida,"Lantana Beach, Palm Beach County",Swimming,M,0,Puncture wounds & lacerations to foot,N,"Spinner shark, 4 to 5 feet",10
USA,2017,Hawaii,"Davidsons Beach, Kekaha, Kauai",Surfing,M,54,Lacerations to left hand,N,"Tiger shark, 8 to 10 feet",10
USA,2017,Hawaii,"Kama‘ole Beach Park, Maui ",Snorkeling,F,40,Abrasions,N,8' shark,10
USA,2017,Florida,"Hanna Park, Jacksonville, Duval County",Surfing,M,0,Lacerations to lower left leg and foot,N,5' shark,9
AUSTRALIA,2017,Western Australia,Gracetown,Surfing,M,0,"No injury, board damaged by shark",N,"White shark, 3.5 m",9
USA,2017,Florida,Fort Worth,Surfing,M,0,Laceration to upper arm,N,4' to 5' shark,9
USA,2017,Florida,Palm Beach County,Surfing,M,0,Minor lacerations to sole of left foot,N,other,9
SPAIN,2017,Canary Islands,Gran Canaria ,Body surfing,M,13,Lacerations to right foot,N,"Porbeagle, 1.5 m",9
USA,2017,Florida,"Ponce Inlet, Volusia County",Surfing,M,28,Lacerations to left foot,N,other,9
USA,2017,Florida,"Ponce Inlet, Volusia County",Surfing,M,18,Lacerations to left foot,N,5' to 6' shark,9
AUSTRALIA,2017,Westerm Australia,Sam's Creek area,Swimming,M,0,Minor injuries,N,other,9
AUSTRALIA,2017,New South Wales,Iluka Beach,Surfing,M,35,Minor lacerations to right hip,N,"White shark, 3 to 3.5m ",9
SOLOMON ISLANDS,2017,other,Owarigi Island,Spearfishing,M,0,Foot bitten,N,other,9
SOUTH AFRICA,2017,Western Cape Province,Dyer Island,"Swimming, poaching abalone",M,0,FATAL,Y,other,9
JAPAN,2017,Shizuoka Prefecture,Iwata City,Surfing,M,42,Injury to ankle & feet,N,other,9
USA,2017,Florida,"Marathon, Monroe County",Swimming,M,0,Lacerations to abdomen,N,Nurse shark,9
USA,2017,Texas,"South Padre Island, Cameron County",Swimming,F,0,Lacerations to foot,N,other,9
USA,2017,Florida,"New Smyrna Beach, Volusia County",Surfing,M,17,Minor injury to right hand,N,other,9
AUSTRALIA,2017,Victoria,Cathedral Rock,Surfing,M,37,"No injury, board bitten",N,"White shark, 3 m",8
USA,2017,Florida,Bathtub Beach ,Wading,F,3,Leg injured,N,other,8
NEW ZEALAND,2017,North Island,Off Tutukaka,Canoeing,M,0,"No injury, shark bit canoe",N,other,8
USA,2017,Massachusetts,"Marconi Beach, Wellfleet, Barnstable County",SUP,M,69,Not injured by shark but board bitten,N,"White shark, 5' to 7'",8
BAHAMAS,2017,other,other,Spearfishing,M,0,Hand injured,N,5' shark,8
USA,2017,South Carolina,"Sea Pines Resort, Hilton Head Island, Beaufort County",Swimming,M,13,Minor cuts to sole & toes of left foot,N,Possibly a juvenile blacktip shark,8
EGYPT,2017,Red Sea Protectorate,Marsa Ghalib,Snorkeling,F,20,Bite to right leg/hip,N,"Oceanic whitetip shark, 1.8 to 2 m",8
USA,2017,Florida,"Jacksonvlle, Duval County",Skimboarding,M,15,Lacerations to lower leg,N,other,7
USA,2017,South Carolina,"DeBordieu Colony, Georgetown County",other,F,12,Bite to left thigh / minor injury,N,other,7
BAHAMAS,2017,New Providence District,Rose Island,Snorkeling,F,0,Foot & ankle injured,N,other,7
BAHAMAS,2017,40 miles off Grand Bahama Island,other,Spearfishing,M,0,Severe lacerations to left hand,N,other,7
"ST HELENA, British overseas territory",2017,Ascension Island,English Bay,Surfing,M,37,Torso bitten,N,other,7
USA,2017,New Jersey,Ventnor,other,F,0,Minor injury to hand,N,Sandtiger shark  2',7
SPAIN,2017,Majorca,"Estanys Beach, Colonia de Sant",Swimming,F,0,Abrasion to arm from shark's rough skin,N,Blue shark 6',7
USA,2017,Florida,"Snipes Point, Monroe County",other,F,40,Foot bitten,N,"""A small shark""",7
USA,2017,California,"Seal Rock, Goleta Beach, Santa Barbara",SUP,M,50,"No injury, shark bit paddleboard",N,"White shark, 8' to 10'",7
USA,2017,Washington,"South Beach, Westport, Grays Harbor County",Surfing,M,0,Pulled off board by shark but no injury,N,"White shark, 9'",7
AUSTRALIA,2017,Western Australia,Floreat Beach,Surfing,M,0,"Minor injury, grazed by shark",N,other,7
USA,2017,Florida,"Haulover Beach, Miami-Dade County",Swimming,M,46,Lower legs bitten,N,"Bull shark, 4' to 5'",7
SOUTH AFRICA,2017,Eastern Cape Province,"Nahoon Reef, East London",Surfing,F,13,"No injury, shark bit surfboard",N,"White shark, 2.5 m",7
USA,2017,South Carolina,"South Forest Beach, Hilton Head Island, Beaufort County",Swimming,F,16,Left foot bitten,N,other,6
USA,2017,Florida,"Singer Island, Palm Beach County",Surfing,M,0,1 to 2-inch laceration behind knee,N,other,6
USA,2017,South Carolina,"Burkes Beach, Hilton Head, Beaufort County",Swimming,F,14,Leg bitten,N,"Bull shark, 4' to 5'",6
REUNION,2017,other,Roches Noire,Body boarding,M,34,"No injury, shark bit surfboard ",N,"Bull shark, 2m",6
SPAIN,2017,Ibiza Island,Playa d’en Bossa,Swimming,M,82,2-inch laceration to hand,N,other,6
FRENCH POLYNESIA,2017,Marquesas,"Atuona Bay, Hiva Oa Island",Surfing,M,0,Injuries to hand and wrist,N,other,6
BAHAMAS,2017,other,other,Feeding sharks,F,0,Fingernail pulled off ,N,other,6
AUSTRALIA,2017,Western Australia,"Point Casuarina, Bunbury",Body boarding,M,48,"No injury, board bitten",N,"White shark, 4 m",6
AUSTRALIA,2017,Victoria,"Flinders, Mornington Penisula",Surfing,F,0,"No injury, knocked off board",N,Seven-gill shark,6
USA,2017,Florida,"Ponce Inlet, Volusia County",Surfing,M,19,Laceration to left foot,N,other,6
UNITED KINGDOM,2017,South Devon,Bantham Beach,Surfing ,M,30,"Bruise to leg, cuts to hand sustained when he hit the shark",N,"3m shark, probably a smooth hound",6
USA,2017,Florida,"Middle Sambo Reef off Boca Chica, Monroe County",Spearfishing,M,0,Laceration to shin,N,8' shark,6
BAHAMAS,2017,New Providence ,Athol Island,Snorkeling,F,32,Right forearm severed ,N,Tiger shark,6
USA,2017,Florida,Off Jupiter,Feeding sharks,M,0,Lacerations to right arm,N,Tiger shark,5
UNITED ARAB EMIRATES,2017,"Sharjah, ",Khor Fakkan,Spearfishing,M,41,Right leg severely bitten,N,other,5
MEXICO,2017,Baja California Sur,"Los Arbolitos, Cabo Pulmo",Snorkeling,M,33,FATAL,Y,other,6
USA,2017,California,"San Onofre, San Diego County ",Swimming,F,0,Major injury to posterior thigh,N,other,4
SOUTH AFRICA,2017,Western Cape Province,"Keurbooms, Plettenberg Bay",Surfing,M,14,Minor injury to right calf,N,other,4
USA,2017,South Carolina,"Folly Beach, Charleston County",Surfing,F,33,Left foot bitten,N,other,4
REUNION,2017,Saint-Leu,Pointe au Sal,Body boarding,M,28,FATAL,Y,other,4
NEW ZEALAND,2017,South Island,"Porpoise Bay, Catlins",Body boarding,F,20s,Puncture wounds & laceration above knee,N,other,4
"ST HELENA, British overseas territory",2017,Ascension Island,English Bay,Snorkeling,F,40,Calf & foot bitten,N,other,4
USA,2017,Florida,"Daytona Beach, Volusia County",other,UNKNOWN,0,Minor bite to the foot,N,other,4
AUSTRALIA,2017,Western Australia,Kelpies near Wylie Bay,Surfing,F,17,FATAL,Y,White shark,4
USA,2017,Hawaii,"Kekaha Beach, Kauai",Surfing,M,28,Lower right leg severely injured,N,"Tiger shark, 12'",4
USA,2017,Florida,"Hanna Park, Jacksonville, Duval County",Surfing,M,17,Lacerations to right foot,N,other,4
USA,2017,Florida,St. Augustine,Surfing,F,0,Lacerations to right foot,N,other,4
USA,2017,Florida,"Ormond Beach, Volusia County",Surfing,F,35,Calf bitten,N,other,4
USA,2017,Florida,"Melbourne Beach, Brevard County",Paddle boarding,F,10,Laceration to calf,N,other,4
USA,2017,Florida,"Melbourne Beach, Brevard County",Swimming,F,21,Minor injury to left hand,N,other,4
USA,2017,Florida,"Daytona, Volusia County",Swimming,M,16,Foot injured,N,other,4
USA,2017,Florida,"New Smyrna Beach, Volusia County",Swimming,F,51,"Thigh nipped, minor injury",N,other,4
AUSTRALIA,2017,Queensland,Moreton Bay,Kakaying,M,39,"No injury, shark bit off stern of kayak",N,other,4
USA,2017,Florida,"Destin, Okaloosa County",Swimming,F,17,Lacerations to thighs,N,"Bull shark, 5' to 7'",4
USA,2017,Florida,"New Smyrna Beach, Volusia County",Surfing,M,58,Minor injury to left foot,N,other,3
AUSTRALIA,2017,New South Wales,The Farm,Body boarding,M,30,Minor,N,other,3
PHILIPPINES,2017,Luzon Island,"Villamar, Caoayan",Spearfishing,M,25,Right thigh injured ,N,10' shark,3
BAHAMAS,2017,Great Exuma,other,Washing hands,M,58,Abrasions & lacerations to left leg and hand,N,Lemon shark,3
AUSTRALIA,2017,Western Australia,Mauds Point,Snorkeling,F,0,Hand bitten,N,"Bull shark, 1.5",2
AUSTRALIA,2017,Western Australia,"Falcon Bay Beach, Mandurah",Surfing,M,0,"No injury, shark struck board",N,other,2
REUNION,2017,Saint-Andre,other,Body boarding,M,26,Fatal,Y,other,2
AUSTRALIA,2017,Queensland,Eva Rock,Spearfishing,M,26,Left leg severely bitten,N,other,2
USA,2017,Florida,"Melbourne Beach, Brevard County",Swimming,M,22,Injury to hand,N,other,2
BAHAMAS,2017,Bimini,other,Scuba Diving,M,37,Lacerations to upper right arm,N,Caribbean reef shark,2
BRAZIL,2017,Pernambuco,"Boa Viagem, Recife",Swimming,M,21,Minor laceration to ring finger,N,other,1
USA,2017,Florida,"Vero Beach, Indian River County",other,M,Teen,Puncture wounds to lower arm or hand,N,other,1
AUSTRALIA,2017,Queensland,"Boot Reef, Torres Strait",Scuba Diving,M,55,"Multiple injuries to arm, wrist and torso",N,"Bull shark, 4 m",1
AUSTRALIA,2017,Queensland,Clairview,Swimming,M,57,Injury to hand,N,other,1
USA,2017,Florida,Jensen Beach,other,M,0,Minor injury to hand,N,other,1
INDONESIA,2017,Bali,Balian Beach,Surfing,M,48,Injury to right wrist & forearm,N,"Bull shark, 1 m",1
USA,2017,Florida,"Blockhouse Beach, Brevard County",Wading,M,47,Minor injuries to foot,N,other,1
USA,2016,Florida,"Avalon State Park Beach, North Hutchinson Island, St Lucie County",Surfing,M,16,Lacerations to right forearm,N,other,12
AUSTRALIA,2016,Western Australia,"Bundegi Sanctuary Zone, Ningaloo",Snorkeling,F,0,Buttock bitten,N,a small shark,12
SOUTH AFRICA,2016,Western Cape Province,"Keurbooms Lagoon, Plettenberg Bay",Surf skiing ,M,55,"No injury, but ski severely damaged",N,"White shark, 4 m",12
AUSTRALIA,2016,Western Australia,Trigg Beach,Free diving,M,61,Punctures to left foot/ankle,N,other,12
FRENCH POLYNESIA,2016,Tuamotos,Takapoto Atoll,Fishing,M,40s,Hand injured?,N,other,12
AUSTRALIA,2016,New South Wales,Booti Booti National Park,Surfing,M,65,Injuries to foot & arm,N,White shark,12
USA,2016,Hawaii,"Kamaole Beach Park I, Maui",Floating,F,58,Injuries to right calf and thigh,N,Tiger shark,11
USA,2016,Florida,"Mayport Naval Station Beach, Duval County",Surfing,M,41,Lacerations to right foot and ankle,N,other,10
USA,2016,Florida,Mayport Naval Station  Duval County,Surfing,M,42,Lacerations to right hand,N,other,10
AUSTRALIA,2016,New South Wales,Broken Head Beach,Surfing,M,36,Lacerations to left thigh,N,other,10
USA,2016,Hawaii,"Hooipa Beach Park, Maui",Surfing,M,36,Left arm and leg injured,N, 6' to 8' shark,10
AUSTRALIA,2016,Queensland,"Kings Beach, Caloundra",Surfing,M,0,Torso nipped,N,other,10
USA,2016,Hawaii,"Charlie Young Beach, Kihei, Maui",Snorkeling,F,66,Injuries to left calf,N,other,10
AUSTRALIA,2016,New South Wales,"Sharpes Beach, Ballina",Surfing,M,25,Minor wound to lower right leg & surfboard bitten,N,other,10
USA,2016,Oregon,"Indian Beach, Ecola State Park, Clatsop County",Surfing,M,29,Wounds to upper thigh and lower leg,N,other,10
USA,2016,Florida,"New Smyrna Beach, Volusia County",Surfing,M,21,Cuts to dorsal surface of left foot,N,other,10
USA,2016,Florida,"New Smyrna Beach, Volusia County",Surfng,M,32,Minor injuries,N,other,10
AUSTRALIA,2016,New South Wales,"Lighthouse Beach, Ballina",Surfing,M,17,4 deep lacerations to thigh,N,"White shark, 3.5 m",9
USA,2016,Florida,"New Smyrna Beach, Volusia County",Surfing,M,16,Minor injury to thigh,N,other,9
USA,2016,Florida,"New Smyrna Beach, Volusia County",Surfing,M,36,Lacerations to hands,N,other,9
USA,2016,Florida,"New Smyrna Beach, Volusia County",Surfing,M,43,Lacerations to lower leg,N,other,9
USA,2016,California,"Bunkers, Humboldt Bay, Eureka, Humboldt County",Surfing,M,43,"No injury, board bitten",N,other,9
AUSTRALIA,2016,Victoria,Thirteenth Beach,Surfing,M,0,Struck by fin on chest & leg,N,other,9
AUSTRALIA,2016,Victoria,Bells Beach,Surfing,M,0,No injury: Knocked off board by shark,N,2 m shark,9
USA,2016,Florida,"Ponte Vedra, St. Johns County",Wading,M,60s,Minor injury to arm,N,3' to 4' shark,9
USA,2016,Hawaii,"Makaha, Oahu",Swimming,F,51,Severe lacerations to shoulder & forearm,N,"Tiger shark, 10'",9
NEW CALEDONIA,2016,North Province,Koumac,Kite surfing,M,50,FATAL,Y,other,9
USA,2016,South Carolina,"Kingston Plantation, Myrtle Beach, Horry County",Boogie boarding,F,12,Lacerations & punctures to lower right leg,N,other,9
AUSTRALIA,2016,Western Australia,Injidup ,Surfing,M,0,"No inury, board broken in half by shark",N,other,9
USA,2016,Florida,"New Smyrna Beach, Volusia County",Body boarding,M,9,Foot bitten,N,other,9
USA,2016,California,"Refugio State Beach, Santa Barbara County",Spearfishing,M,22,Two toes broken & lacerated,N,"White shark, 8' to 10'",9
USA,2016,Florida,"New Smyrna Beach, Volusia County",Surfing,M,25,Lacerations to right foot,N,"Bull shark, 6'",8
USA,2016,Florida,"New Smyrna Beach, Volusia County",Surfing,M,37,Minor injury to ankle,N,other,8
REUNION,2016,other,Boucan Canot,Surfing,M,20,"Right arm severed, ankle severely bitten ",N,"Bull shark, 3.5 m",8
USA,2016,Florida,"Ponte Vedra, St. Johns County",Wading,M,49,Minor injury to ankle,N,other,8
BAHAMAS,2016,New Providence Island,Nassau,Snorkeling,M,15,Lacerations to left leg,N,other,8
USA,2016,Hawaii,Maui,SUP Foil boarding,M,21,"No inury, shark & board collided",N,"Tiger shark, 10' ",8
USA,2016,Florida,"New Smyrna Beach, Volusia County",Surfing,M,22,Big toe bitten,N,Blacktip shark,8
SPAIN,2016,Alicante Province,Arenales del Sol,Swimming,M,40,Lacerations to right hand,N,Blue shark,7
CHINA,2016,Hong Kong,other,Swimming,M,72,Lacerations to leg,N,other,7
AUSTRALIA,2016,New South Wales,"Sharpes Beach, Ballina",Surfing,M,18,"No injury. Leg rope severed, knocked off board by shark",N,other,7
JAPAN,2016,Kochi Prefecture,Irino Beach,Surfing,M,29,Lacerations to left leg,N,other,7
AUSTRALIA,2016,Tasmania,Clifton Beach,Surfing,M,36,Calf bumped but no injury,N,other,7
BAHAMAS,2016,Abaco Islands,Green Turtle Cay,Spearfishing,M,0,Lacerations to face and right leg,N,"Bull shark, 6'",7
USA,2016,Florida,"New Smyrna Beach, Volusia County",Surfing,F,9,Minor injury to leg,N,other,7
USA,2016,Florida,"New Smyrna Beach, Volusia County",other,F,11,Minor injury to toes,N,other,7
USA,2016,California,"Surfside, Orange County",Kite surfing,M,61,"No injury, board damaged",N,"White shark, 10' to 12'",7
USA,2016,South Carolina,"North Myrtle Beach, Horry County",Swimming,M,0,Puncture wounds to foot,N,other,7
BAHAMAS,2016,other,Tiger Beach,Scuba Diving,M,0,Face bruised when partly blind shark collided with him,N,"Lemon shark, 9'",7
SPAIN,2016,Canary Islands,"Las Teresitas, Tenerife",Wading,F,10,"5 tiny puncture marks to lower leg, treated with hydrogen peroxide",N,Angel shark,7
USA,2016,Florida,"Melbourne Beach, Brevard County",Swimming,F,42,"Buttocks, thigh, left hand & wrist injured",N,other,7
USA,2016,South Carolina,Sullivan's Island,other,M,35,Minor injury,N,3' to 4' shark,6
USA,2016,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",Surfing,M,11,Foot injured,N,other,6
COLUMBIA,2016,Isla Provedencia,other,Scuba Diving,M,59,Severe bite to right hand,N,"Caribbean reef shark, 4.5'",6
SOUTH AFRICA,2016,Western Cape Province,Ryspunt,Spearfishing,M,43,Injuries to left leg & right hand,N,White shark,6
USA,2016,South Carolina,"North Myrtle Beach, Horry County",Floating,M,42,Lacerations and punctures to foot,N,3' to 5' shark,6
USA,2016,Florida,"Pelican Beach Park, Satellite Beach, Brevard County",Wading,M,0,Injuries to right calf,N,other,6
USA,2016,Hawaii,"Kalapaki Beach, Kauai",Surfing,M,0,Single puncture wound to arm,N,3' to 4' shark,6
USA,2016,Texas,"Pirates Beach, Galveston",Floating in tube,F,6,Injury to lower leg,N,3' to 4' shark,6
USA,2016,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",Standing,M,19,Laceration to wrist,N,3' shark,6
USA,2016,Florida,"Flagler Beach, Flagler County",Swimming,M,64,Leg bitten,N,other,6
AUSTRALIA,2016,Western Australia,Mindarie,Diving,F,60,FATAL,Y,3+ m shark,6
EGYPT,2016,Suez,Ain Sokhna,Swimming,M,23,"Leg severely bitten, surgically amputated",N,Mako shark,6
AUSTRALIA,2016,New South Wales,Kingscliff,Spearfishing,M,0,"No injury, but sharks repeatedly hit their fins and guns",N,Bronze whaler sharks x 3,6
NEW CALEDONIA,2016,other," Côte-Blanche, Nouméa ",Kite surfing,M,0,Laceration to heel,N,3 m shark,6
AUSTRALIA,2016,Western Australia,"Falcon Beach, Mandurah",Surfing,M,29,FATAL,Y,White shark,5
USA,2016,California,"Corona Del Mar, Newport, Orange County",Swimming,F,52,Injuries to arm and shoulder,N,other,5
USA,2016,Florida,"Neptune, Duval County",Swimming,M,13,Injury to posterior right leg,N,5' shark,5
USA,2016,Florida,"Vero Beach, Indian River County",Swimming,F,57,Puncture wounds to thigh,N,other,5
USA,2016,Florida,"St. Petersburg, Pinellas County",Swimming,F,22,Lacerations and puncture wounds to foot and ankle,N,"Bull shark, 4' to 5'",5
USA,2016,Florida,"Hugenot Beach , Jacksonville, Duval County",Swimming,F,11,"Back, arm & hand injured",N,other,5
USA,2016,Florida,"Ponte Vedra, St. Johns County",Swimming,M,48,Ankle bitten,N,"Blacktip shark, 4'",5
USA,2016,Hawaii,"Wailea Beach, Maui",Floating,M,59,Minor lacerations to right shoulder,N,other,5
INDONESIA,2016,Bali,Balian,Surfing,M,24,Elbow bitten,N,"Bull shark, 6'",4
USA,2016,Florida,"New Smyrna Beach, Volusia County",Surfing,M,15,Minor injury to left foot,N,other,4
SOUTH AFRICA,2016,Western Cape Province,"Robberg Beach, Plettenberg Bay",Surf-skiing,M,0,"No injury, surf-ski bitten",N,White shark,4
AUSTRALIA,2016,New South Wales,"First Sun Beach, Byron Bay",Swimming,M,12,Minor puncture wound to foot,N,Wobbegong shark,4
USA,2016,Florida,"Off Singer Island, Palm Beach County",Spearfishing,M,26,Multiple bites to right arm,N,"Bull shark, 7'",4
NEW CALEDONIA,2016,Grand Terre,Poe Beach,Walking,F,69,FATAL,Y,"Tiger shark, 2.5 m",4
USA,2016,Florida,"Florida Keys, Monroe County",Fishing,M,34,Left hand bitten,N,5' to 6' shark,4
USA,2016,Hawaii,"Olowalu, Maui",Snorkeling,F,46,Minor injury to left foot,N,other,3
AUSTRALIA,2016,New South Wales,Bombo Beach,Surfing,M,22,Severe injury to thigh,N,other,3
USA,2016,Florida,"Fort Myers Beach, Lee County",other,M,Teen,Minor injury to arm. Possibly caused by smalll nurse shark,N,Shark involvement not confirmed,3
AUSTRALIA,2016,New South Wales,North Cronulla Beach,Surfing,M,41,"No injury, board dented",N,other,3
USA,2016,Florida,"Vero Beach, St. Lucie County",Body surfing,M,19,Lacerations to right foot and ankle,N,other,3
Fiji,2016,Vanua Levu,other,Diving for beche-de-mer,M,45,FATAL,Y,other,3
USA,2016,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",other,M,12,Superficial injury to foot,N,other,3
AUSTRALIA,2016,South Australia,Wrights Bay,Fishing,M,0,Puncture wounds to right calf,N,Bronze whaler,3
BRAZIL,2016,Santa Catarina State,Escalerio Beach Balneário Camboriú,Swimming,M,41,Minor injury to head,N,Sandtiger shark,3
NEW CALEDONIA,2016,South Province,"Ricaudy Reef, Noumea",Kite surfing,M,21,Puncture wounds to right thigh,N,other,2
NEW CALEDONIA,2016,South Province,Yate,Spearfishing,M,31,Forearm bitten,N,other,2
